rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
1,THA.10.16.3_1,Haiya,MuangChiangMai,ChiangMai,Tambon,228,0.43204230070114136,0.503853976726532,0.4422997534275055,0.4738011360168457,0.48937949538230896,3,47,20.614035087719298,0.447071421119937,0.7017538908676739,0.4834498144155816,0.5951705033392723,0.6504196669489778
2,THA.10.16.2_1,ChangPhueak,MuangChiangMai,ChiangMai,Tambon,273,0.4264259338378906,0.5171671509742737,0.4365108609199524,0.4617014229297638,0.5012928247451782,3,40,14.652014652014653,0.427152791408018,0.7489695009921054,0.46291931683456833,0.5522584731122174,0.6926706811709686
3,THA.10.16.5_1,NongHoi,MuangChiangMai,ChiangMai,Tambon,383,0.4127068519592285,0.5164986252784729,0.428175151348114,0.4508190453052521,0.47590574622154236,3,39,10.182767624020887,0.3784976165267953,0.7465985526349584,0.4333564488114765,0.5136637631216274,0.6026345726167937
4,THA.10.16.7_1,PaDaet,MuangChiangMai,ChiangMai,Tambon,1336,0.3961215317249298,0.5286619663238525,0.4227454364299774,0.4503229856491089,0.48797371983528137,3,136,10.179640718562874,0.3196772330931205,0.7897362415078099,0.4140997863588662,0.5119044712437427,0.6454340377582404
5,THA.10.16.4_1,MaeHia,MuangChiangMai,ChiangMai,Tambon,920,0.40146902203559875,0.5222411751747131,0.42423123121261597,0.44679024815559387,0.48185989260673523,3,84,9.130434782608695,0.3386422832723104,0.7669646946214922,0.41936920639923525,0.499375501588436,0.6237511485073817
6,THA.10.16.10_1,ThaSala,MuangChiangMai,ChiangMai,Tambon,933,0.4016331732273102,0.51420658826828,0.4249745011329651,0.4459199905395508,0.4637886583805084,3,81,8.681672025723474,0.3392244508699907,0.7384697680303107,0.4220052376058706,0.4962891043444521,0.5596609222536735
7,THA.10.16.6_1,NongPaKhrang,MuangChiangMai,ChiangMai,Tambon,533,0.4004192054271698,0.509239673614502,0.42523393034935,0.44559764862060547,0.45369842648506165,3,42,7.879924953095685,0.33491907415904104,0.7208544419292577,0.4229253118502075,0.49514590813230425,0.5238755831320638
8,THA.20.6.1_1,BanKlang,MuangLamphun,Lamphun,Tambon,2713,0.39333096146583557,0.5193222761154175,0.4207282066345215,0.44545289874076843,0.45606791973114014,3,217,7.998525617397714,0.3097803839325548,0.7566127231523551,0.40694561457524436,0.49463254792498157,0.5322790688235617
9,THA.10.23.1_1,ChaiSathan,Saraphi,ChiangMai,Tambon,560,0.3997001051902771,0.5072570443153381,0.4198029041290283,0.4452451765537262,0.4574412703514099,3,48,8.571428571428571,0.3323687615293336,0.7138229819431863,0.4036639988212903,0.4938958543600157,0.5371497019456214
10,THA.75.4.13_1,ThaIt,MuangUttaradit,Uttaradit,Tambon,868,0.38947322964668274,0.5268282294273376,0.4171113967895508,0.4426799416542053,0.45590224862098694,3,70,8.064516129032258,0.29609881121757053,0.7832328333223939,0.39411847956172125,0.48479816445980967,0.5316915107851621
